#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 521 | 0.000005912s | 48 B
                 522 | 0.000006197s | 48 B
                 523 | 0.000006792s | 48 B
                 524 | 0.000005951s | 48 B
                 525 | 0.000006144s | 48 B
                 526 | 0.000013684s | 48 B
                 527 | 0.000009694s | 48 B
                 528 | 0.000006651s | 48 B
                 529 | 0.000005757s | 48 B
                 530 | 0.000005630s | 48 B
                 531 | 0.000005583s | 48 B
                 532 | 0.000005757s | 48 B
                 533 | 0.000005584s | 48 B
                 534 | 0.000005841s | 48 B
                 535 | 0.000005719s | 48 B
                 536 | 0.000005537s | 48 B
                 537 | 0.000005365s | 48 B
                 538 | 0.000005923s | 48 B
                 539 | 0.000005558s | 48 B
                 540 | 0.000005492s | 48 B
                 541 | 0.000005619s | 48 B
                 542 | 0.000005373s | 48 B
                 543 | 0.000005626s | 48 B
                 544 | 0.000005501s | 48 B
                 545 | 0.000005318s | 48 B
                 546 | 0.000005559s | 48 B
                 547 | 0.000005690s | 48 B
                 548 | 0.000005324s | 48 B
                 549 | 0.000006973s | 48 B
                 550 | 0.000037478s | 48 B
                 551 | 0.000009088s | 48 B
                 552 | 0.000006152s | 48 B
                 553 | 0.000005682s | 48 B
                 554 | 0.000005986s | 48 B
                 555 | 0.000006584s | 56 B
                 556 | 0.000006386s | 56 B
                 557 | 0.000006198s | 56 B
                 558 | 0.000006012s | 56 B
                 559 | 0.000006246s | 56 B
                 560 | 0.000005907s | 56 B
                 561 | 0.000008227s | 56 B
                 562 | 0.000006115s | 56 B
                 563 | 0.000007907s | 56 B
                 564 | 0.000007893s | 56 B
                 565 | 0.000007786s | 56 B
                 566 | 0.000007859s | 56 B
                 567 | 0.000007834s | 56 B
                 568 | 0.000007767s | 56 B
                 569 | 0.000007807s | 56 B
                 570 | 0.000008002s | 56 B
                 571 | 0.000007941s | 56 B
                 572 | 0.000008366s | 56 B
                 573 | 0.000008567s | 56 B
                 574 | 0.000007980s | 56 B
                 575 | 0.000008111s | 56 B
                 576 | 0.000008032s | 56 B
                 577 | 0.000007742s | 56 B
                 578 | 0.000007857s | 56 B
                 579 | 0.000008040s | 56 B
                 580 | 0.000007611s | 56 B
                 581 | 0.000007865s | 56 B
                 582 | 0.000007701s | 56 B
                 583 | 0.000007615s | 56 B
                 584 | 0.000012571s | 56 B
                 585 | 0.000009587s | 56 B
                 586 | 0.000017362s | 56 B
                 587 | 0.000007947s | 56 B
                 588 | 0.000008013s | 56 B
                 589 | 0.000008083s | 56 B
                 590 | 0.000007945s | 56 B
                 591 | 0.000007831s | 56 B
                 592 | 0.000007028s | 56 B
                 593 | 0.000007557s | 56 B
                 594 | 0.000011658s | 56 B
                 595 | 0.000015476s | 56 B
                 596 | 0.000007643s | 56 B
                 597 | 0.000007221s | 56 B
                 598 | 0.000007560s | 56 B
                 599 | 0.000007276s | 56 B
                 600 | 0.000007385s | 56 B
                 601 | 0.000007548s | 56 B
                 602 | 0.000007355s | 56 B
                 603 | 0.000006957s | 56 B
                 604 | 0.000010715s | 56 B
                 605 | 0.000008556s | 56 B
                 606 | 0.000007977s | 56 B
                 607 | 0.000007728s | 56 B
                 608 | 0.000007558s | 56 B
                 609 | 0.000007427s | 56 B
                 610 | 0.000007918s | 56 B
                 611 | 0.000007523s | 56 B
                 612 | 0.000007406s | 56 B
                 613 | 0.000007348s | 56 B
                 614 | 0.000007570s | 56 B
                 615 | 0.000008059s | 56 B
                 616 | 0.000006547s | 56 B
                 617 | 0.000006093s | 56 B
                 618 | 0.000009357s | 56 B
                 619 | 0.000006170s | 56 B
                 620 | 0.000006078s | 56 B
                 621 | 0.000006097s | 56 B
                 622 | 0.000008594s | 56 B
                 623 | 0.000006117s | 56 B
                 624 | 0.000009399s | 56 B
                 625 | 0.000006142s | 56 B
                 626 | 0.000006213s | 56 B
                 627 | 0.000005885s | 56 B
                 628 | 0.000006096s | 56 B
                 629 | 0.000010301s | 56 B
                 630 | 0.000005974s | 56 B
                 631 | 0.000010345s | 56 B
                 632 | 0.000005799s | 56 B
                 633 | 0.000009287s | 56 B
                 634 | 0.000006184s | 56 B
                 635 | 0.000013291s | 56 B
                 636 | 0.000006243s | 56 B
                 637 | 0.000008079s | 56 B
                 638 | 0.000023110s | 56 B
                 639 | 0.000005890s | 56 B
                 640 | 0.000005714s | 56 B
                 641 | 0.000006162s | 56 B
                 642 | 0.000006146s | 56 B
                 643 | 0.000006217s | 56 B
                 644 | 0.000006034s | 56 B
                 645 | 0.000005928s | 56 B
                 646 | 0.000005937s | 56 B
                 647 | 0.000014503s | 64 B
                 648 | 0.000006063s | 64 B
                 649 | 0.000006337s | 64 B
                 650 | 0.000006235s | 64 B
                 651 | 0.000006014s | 64 B
                 652 | 0.000005841s | 64 B
                 653 | 0.000007003s | 64 B
                 654 | 0.000006468s | 64 B
                 655 | 0.000005945s | 64 B
                 656 | 0.000005938s | 64 B
                 657 | 0.000005841s | 64 B
                 658 | 0.000005858s | 64 B
                 659 | 0.000006000s | 64 B
                 660 | 0.000033214s | 64 B
                 661 | 0.000006072s | 64 B
                 662 | 0.000006165s | 64 B
                 663 | 0.000005994s | 64 B
                 664 | 0.000005925s | 64 B
                 665 | 0.000008220s | 64 B
                 666 | 0.000006276s | 64 B
                 667 | 0.000006777s | 64 B
                 668 | 0.000007883s | 64 B
                 669 | 0.000006340s | 64 B
                 670 | 0.000007037s | 64 B
                 671 | 0.000017843s | 64 B
                 672 | 0.000006575s | 64 B
                 673 | 0.000008052s | 64 B
                 674 | 0.000007174s | 64 B
                 675 | 0.000009302s | 64 B
                 676 | 0.000006021s | 64 B
                 677 | 0.000006030s | 64 B
                 678 | 0.000005891s | 64 B
                 679 | 0.000005886s | 64 B
                 680 | 0.000005615s | 64 B
                 681 | 0.000005911s | 64 B
                 682 | 0.000007431s | 64 B
                 683 | 0.000006046s | 64 B
                 684 | 0.000005937s | 64 B
                 685 | 0.000005710s | 64 B
                 686 | 0.000005832s | 64 B
                 687 | 0.000006159s | 64 B
                 688 | 0.000005887s | 64 B
                 689 | 0.000006048s | 64 B
                 690 | 0.000006027s | 64 B
                 691 | 0.000005905s | 64 B
                 692 | 0.000005633s | 64 B
                 693 | 0.000017363s | 64 B
                 694 | 0.000006163s | 64 B
                 695 | 0.000006030s | 64 B
                 696 | 0.000005753s | 64 B
                 697 | 0.000005760s | 64 B
                 698 | 0.000006632s | 64 B
                 699 | 0.000006240s | 64 B
                 700 | 0.000006856s | 64 B
                 701 | 0.000006040s | 64 B
                 702 | 0.000005785s | 64 B
                 703 | 0.000005829s | 64 B
                 704 | 0.000005986s | 64 B
                 705 | 0.000016996s | 64 B
                 706 | 0.000007584s | 64 B
                 707 | 0.000006222s | 64 B
                 708 | 0.000005673s | 64 B
                 709 | 0.000005658s | 64 B
                 710 | 0.000005665s | 64 B
                 711 | 0.000005741s | 64 B
                 712 | 0.000005751s | 64 B
                 713 | 0.000007645s | 64 B
