#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 463 | 0.000002178s | 48 B
                 464 | 0.000002178s | 48 B
                 465 | 0.000002198s | 48 B
                 466 | 0.000002196s | 48 B
                 467 | 0.000002199s | 48 B
                 468 | 0.000004117s | 48 B
                 469 | 0.000003169s | 48 B
                 470 | 0.000002958s | 48 B
                 471 | 0.000002406s | 48 B
                 472 | 0.000002293s | 48 B
                 473 | 0.000002278s | 48 B
                 474 | 0.000002276s | 48 B
                 475 | 0.000002200s | 48 B
                 476 | 0.000002298s | 48 B
                 477 | 0.000002390s | 48 B
                 478 | 0.000002661s | 48 B
                 479 | 0.000002317s | 48 B
                 480 | 0.000002279s | 48 B
                 481 | 0.000002229s | 48 B
                 482 | 0.000002224s | 48 B
                 483 | 0.000002191s | 48 B
                 484 | 0.000002228s | 48 B
                 485 | 0.000002232s | 48 B
                 486 | 0.000002207s | 48 B
                 487 | 0.000002144s | 48 B
                 488 | 0.000002405s | 48 B
                 489 | 0.000002234s | 48 B
                 490 | 0.000002217s | 48 B
                 491 | 0.000002137s | 48 B
                 492 | 0.000002281s | 48 B
                 493 | 0.000002159s | 48 B
                 494 | 0.000002134s | 48 B
                 495 | 0.000002212s | 48 B
                 496 | 0.000002176s | 48 B
                 497 | 0.000002420s | 48 B
                 498 | 0.000004356s | 48 B
                 499 | 0.000002867s | 48 B
                 500 | 0.000002465s | 48 B
                 501 | 0.000002271s | 48 B
                 502 | 0.000002194s | 48 B
                 503 | 0.000002230s | 48 B
                 504 | 0.000002829s | 48 B
                 505 | 0.000002221s | 48 B
                 506 | 0.000002190s | 48 B
                 507 | 0.000002590s | 48 B
                 508 | 0.000002281s | 48 B
                 509 | 0.000002213s | 48 B
                 510 | 0.000002136s | 48 B
                 511 | 0.000002182s | 48 B
                 512 | 0.000002166s | 48 B
                 513 | 0.000002173s | 48 B
                 514 | 0.000002179s | 48 B
                 515 | 0.000002151s | 48 B
                 516 | 0.000032702s | 48 B
                 517 | 0.000003341s | 48 B
                 518 | 0.000003087s | 48 B
                 519 | 0.000002461s | 48 B
                 520 | 0.000002263s | 48 B
                 521 | 0.000002216s | 48 B
                 522 | 0.000002247s | 48 B
                 523 | 0.000002201s | 48 B
                 524 | 0.000002241s | 48 B
                 525 | 0.000002208s | 48 B
                 526 | 0.000002795s | 48 B
                 527 | 0.000002281s | 48 B
                 528 | 0.000002188s | 48 B
                 529 | 0.000002222s | 48 B
                 530 | 0.000002156s | 48 B
                 531 | 0.000002208s | 48 B
                 532 | 0.000002243s | 48 B
                 533 | 0.000002159s | 48 B
                 534 | 0.000002144s | 48 B
                 535 | 0.000002188s | 48 B
                 536 | 0.000004152s | 48 B
                 537 | 0.000002984s | 48 B
                 538 | 0.000002329s | 48 B
