#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 573 | 0.000033453s | 56 B
                 574 | 0.000046203s | 56 B
                 575 | 0.000025460s | 56 B
                 576 | 0.000023557s | 56 B
                 577 | 0.000021619s | 56 B
                 578 | 0.000032118s | 56 B
                 579 | 0.000030742s | 56 B
                 580 | 0.000030042s | 56 B
                 581 | 0.000027802s | 56 B
                 582 | 0.000032377s | 56 B
                 583 | 0.000030958s | 56 B
                 584 | 0.000031759s | 56 B
                 585 | 0.000032303s | 56 B
                 586 | 0.000029879s | 56 B
                 587 | 0.000032753s | 56 B
                 588 | 0.000033928s | 56 B
                 589 | 0.000033300s | 56 B
                 590 | 0.000031320s | 56 B
                 591 | 0.000034301s | 56 B
                 592 | 0.000029725s | 56 B
                 593 | 0.000032555s | 56 B
                 594 | 0.000029358s | 56 B
                 595 | 0.000032155s | 56 B
                 596 | 0.000040725s | 56 B
                 597 | 0.000035003s | 56 B
                 598 | 0.000033428s | 56 B
                 599 | 0.000035256s | 56 B
                 600 | 0.000032410s | 56 B
                 601 | 0.000032074s | 56 B
                 602 | 0.000034557s | 56 B
                 603 | 0.000034349s | 56 B
                 604 | 0.000032824s | 56 B
                 605 | 0.000034588s | 56 B
                 606 | 0.000033689s | 56 B
                 607 | 0.000033551s | 56 B
                 608 | 0.000032999s | 56 B
                 609 | 0.000032311s | 56 B
                 610 | 0.000032776s | 56 B
                 611 | 0.000034095s | 56 B
                 612 | 0.000040016s | 56 B
                 613 | 0.000031733s | 56 B
                 614 | 0.000033773s | 56 B
                 615 | 0.000032566s | 56 B
                 616 | 0.000032250s | 56 B
                 617 | 0.000032846s | 56 B
                 618 | 0.000036318s | 56 B
                 619 | 0.000036051s | 56 B
                 620 | 0.000034362s | 56 B
                 621 | 0.000032878s | 56 B
                 622 | 0.000033296s | 56 B
                 623 | 0.000033572s | 56 B
                 624 | 0.000032739s | 56 B
                 625 | 0.000034736s | 56 B
                 626 | 0.000034163s | 56 B
                 627 | 0.000031597s | 56 B
                 628 | 0.000034130s | 56 B
